"source","target","sum"
"ZOTH","SVN",1520
"IRL","DEU",1519
"ESP","IRL",1506
"HUN","POL",1497
"TUR","SWE",1495
"NOR","NLD",1491
"AUS","DEU",1485
"JPN","GRC",1483
"CHE","NLD",1478
"ZNAM","HUN",1465
"SVN","AUT",1455
"CZE","HUN",1453
"ZASI","HRV",1445
"FRA","HUN",1439
"GBR","DNK",1437
"ROW","SVK",1428
"KOR","SWE",1427
"ZASI","LTU",1420
"NOR","POL",1416
"SVK","ESP",1413
"CAN","ITA",1410
"SVK","HUN",1404
"ZASI","LUX",1401
"NLD","DNK",1399
"TUR","GRC",1394
"DNK","FRA",1392
"BRA","ESP",1391
"POL","FIN",1390
"CYP","CYP",1372
"SVN","FRA",1372
"DXD","CYP",1372
"ZASI","EST",1371
"TUN","FRA",1368
"JPN","DNK",1362
"EASIA","HRV",1359
"CHE","BEL",1357
"EASIA","LTU",1346
"NLD","AUT",1341
"ROW","HUN",1313
"EASIA","EST",1296
"CHE","SWE",1292
"LUX","FRA",1266
"RUS","BGR",1266
"ROW","IRL",1266
"GBR","AUT",1261
"CHN","BGR",1253
"ESP","CZE",1250
"ZNAM","PRT",1249
"MEX","ITA",1241
"ROW","GRC",1236
"ESP","DNK",1235
"EASIA","LUX",1234
"BRA","NLD",1233
"PER","ITA",1222
"ISL","DEU",1222
"FRA","SVK",1221
"THA","FRA",1209
"SWE","AUT",1208
"ROW","BGR",1206
"ASEAN","BEL",1203
"TWN","POL",1200
"USA","HUN",1188
"CHN","SVN",1187
"IND","SWE",1180
"HRV","DEU",1173
"KOR","IRL",1168
"ZSCA","SWE",1166
"TWN","SWE",1160
"RUS","LTU",1156
"VNM","FRA",1155
"KOR","AUT",1151
"ZOTH","LTU",1149
"GRC","FRA",1139
"IDN","FRA",1139
"NOR","ESP",1130
"POL","LTU",1116
"FIN","POL",1112
"TUR","BGR",1111
"FRA","FIN",1101
"ZNAM","GRC",1098
"ROW","DNK",1098
"JPN","FIN",1095
"ZSCA","AUT",1094
"NOR","DNK",1092
"RUS","HUN",1088
"NLD","IRL",1070
"AUT","SVK",1066
"BEL","AUT",1065
"HUN","ESP",1061
"ROW","HRV",1060
"MAR","FRA",1041
"SVN","HRV",1032
"CAN","ESP",1025
"FIN","ESP",1012
"PRT","ITA",1007
"FRA","GRC",1004
"ASEAN","SWE",995
"USA","PRT",987
"JPN","HUN",973
"GBR","CZE",971
"ROW","PRT",962
"ASEAN","AUT",960
"CHE","CZE",959
"RUS","SVK",951
"PER","DEU",949
"ISR","DEU",931
"CHN","LTU",928
"NOR","ITA",921
"AUT","HRV",919
"RUS","IRL",912
"AUT","DNK",903
"AUS","FRA",901
"ESP","FIN",900
"BRA","BEL",899
"CHN","HRV",898
"DEU","LVA",882
"USA","GRC",873
"ZSCA","IRL",866
"TUR","CZE",863
"ROW","SVN",855
"ITA","LTU",855
"ESP","GRC",851
"CAN","NLD",847
"ROU","ESP",840
"ZSCA","PRT",835
"IND","AUT",834
"CHN","EST",826
"TUR","IRL",820
"VNM","ITA",819
"GBR","FIN",816
"BGR","FRA",808
"ZNAM","SVK",807
"ZAF","ITA",805
"AUT","SVN",802
"DNK","ITA",794
"MEX","ESP",788
"SWE","CZE",788
"DNK","NLD",786
"DNK","POL",783
"CHL","NLD",771
"ESP","HUN",766
"IDN","ITA",760
"TUR","HUN",759
"NLD","PRT",754
"IRL","FRA",754
"RUS","LVA",753
"ROU","AUT",752
"DEU","EST",750
"BEL","IRL",745
"CHL","POL",743
"HUN","CZE",740
"NLD","CZE",735
"ZAF","FRA",731
"DNK","ESP",731
"TUR","PRT",730
"KAZ","ESP",728
"ZASI","LVA",719
"AUT","IRL",719
"ROU","POL",717
"SVK","SWE",716
"EST","FIN",715
"GBR","PRT",714
"ARG","DEU",714
"THA","ITA",708
"SVK","NLD",705
"ROW","LTU",704
"RUS","PRT",702
"POL","IRL",701
"TUN","ITA",699
"AUT","FIN",691
"BRA","POL",682
"JPN","SVK",681
"EASIA","LVA",677
"CHN","CYP",671
"ISR","FRA",671
"NLD","HUN",668
"CHL","BEL",668
"MYS","FRA",664
"RUS","EST",663
"BEL","DNK",661
"JPN","PRT",658
"FIN","DNK",656
"BEL","CZE",655
"HRV","ITA",651
"ZNAM","LUX",650
"ZSCA","CZE",648
"CHN","LUX",641
"TWN","AUT",640
"IRL","ITA",638
"CZE","DNK",636
"KOR","CYP",634
"USA","SVK",634
"ASEAN","CZE",626
"CAN","BEL",623
"ZSCA","FIN",622
"KOR","HUN",621
"PER","FRA",620
"TWN","BEL",614
"KOR","FIN",611
"LUX","ITA",610
"ZAF","ESP",609
"CHE","HUN",607
"CHE","IRL",606
"FRA","LUX",603
"SVK","BEL",601
"EST","SWE",599
"NLD","FIN",592
"ROU","HUN",591
"IND","IRL",589
"CHE","FIN",588
"TUR","DNK",587
"SVN","POL",578
"CAN","IRL",576
"ISL","NLD",576
"SWE","IRL",576
"CHE","DNK",575
"ASEAN","DNK",567
"CAN","SWE",566
"CZE","IRL",561
"MAR","ESP",561
"POL","PRT",559
"ASEAN","IRL",558
"BEL","PRT",556
"HUN","SWE",554
"ZSCA","DNK",553
"GBR","GRC",550
"GRC","ESP",549
"HUN","NLD",547
"PRT","BEL",541
"IND","DNK",541
"AUS","ITA",539
"GBR","HUN",538
"ESP","SVK",534
"FIN","BEL",530
"USA","LUX",527
"ZSCA","GRC",526
"VNM","NLD",524
"VNM","POL",523
"NOR","FIN",522
"CZE","FIN",519
"CAN","POL",518
"SVN","ESP",505
"VNM","ESP",504
