"source","target","sum"
"14","42",766
"61","10",760
"37","42",759
"20","33",754
"50","11",754
"32","63",753
"48","22",752
"8","56",750
"24","50",745
"49","18",743
"42","28",740
"20","28",735
"62","11",731
"31","14",731
"37","33",730
"57","14",728
"15","63",719
"22","50",719
"48","18",717
"40","21",716
"56","27",715
"36","33",714
"72","8",714
"59","10",708
"40","20",705
"34","54",704
"32","33",702
"18","50",701
"67","10",699
"22","27",691
"51","18",682
"30","40",681
"16","63",677
"19","66",671
"71","11",671
"20","42",668
"49","24",668
"64","11",664
"32","56",663
"24","31",661
"30","33",658
"27","31",656
"24","28",655
"44","10",651
"25","60",650
"39","28",648
"19","60",641
"47","22",640
"50","10",638
"28","31",636
"38","66",634
"26","40",634
"41","28",626
"53","24",623
"39","27",622
"38","42",621
"68","11",620
"47","24",614
"38","27",611
"60","10",610
"62","14",609
"29","42",607
"29","50",606
"11","60",603
"40","24",601
"56","21",599
"20","27",592
"48","42",591
"43","50",589
"29","27",588
"37","31",587
"46","18",578
"53","50",576
"69","20",576
"21","50",576
"29","31",575
"41","31",567
"53","21",566
"28","50",561
"70","14",561
"18","33",559
"41","50",558
"24","33",556
"42","21",554
"39","31",553
"36","35",550
"35","14",549
"42","20",547
"33","24",541
"43","31",541
"65","10",539
"36","42",538
"14","40",534
"27","24",530
"26","60",527
"39","35",526
"58","20",524
"58","18",523
"52","27",522
"28","27",519
"53","18",518
"46","14",505
"58","14",504
"61","20",503
"42","40",500
"18","63",496
"44","22",495
"23","63",494
"37","27",489
"50","21",485
"61","14",484
"51","33",482
"22","33",479
"31","27",478
"57","35",477
"23","56",470
"8","66",470
"64","20",468
"42","24",465
"73","8",463
"48","24",463
"43","28",455
"33","20",455
"55","24",454
"27","56",452
"18","35",449
"43","33",448
"27","22",447
"45","35",445
"19","63",443
"22","35",442
"24","42",442
"48","20",441
"11","46",440
"52","24",436
"43","27",434
"38","33",430
"32","66",429
"54","21",429
"41","27",428
"28","33",427
"55","20",426
"51","21",425
"20","35",425
"74","8",425
"49","22",424
"37","40",422
"50","14",417
"57","20",416
"10","60",403
"17","60",402
"60","24",402
"21","54",402
"25","46",401
"23","60",400
"69","11",398
"35","18",394
"59","20",394
"47","28",394
"60","20",392
"31","24",390
"59","14",389
"46","42",389
"53","22",388
"57","18",388
"64","10",387
"23","66",380
"48","45",378
"60","14",376
"55","18",375
"52","22",375
"22","45",374
"47","31",372
"21","42",369
"49","21",368
"24","60",365
"65","14",365
"18","44",362
"71","10",362
"24","27",362
"57","22",358
"35","45",358
"48","28",355
"65","20",355
"10","66",352
"33","18",345
"68","14",345
"43","35",343
"21","33",340
"47","27",338
"21","56",335
"45","24",332
"62","24",332
"32","46",328
"45","18",326
"11","45",326
"47","50",325
"39","42",324
"56","8",322
"50","20",322
"18","45",321
"49","35",320
"29","40",320
"40","31",318
"55","50",318
"72","11",315
"54","8",315
"51","22",314
"25","45",311
"67","8",311
"18","56",309
"25","54",304
"51","50",301
"45","14",299
"36","40",296
"72","14",296
"35","66",296
"18","46",295
"24","35",292
"32","44",290
"46","20",289
"44","46",287
"11","54",286
"39","40",285
"72","10",284
"41","40",284
"30","60",282
"70","10",281
"41","42",279
"10","63",277
"70","8",277
"11","44",277
"43","42",276
"25","44",274
"46","28",274
"75","11",273
"60","18",269
"25","66",269
"36","66",267
"33","50",266
"27","50",265
"26","46",265
"37","46",262
"29","33",261
"41","35",260
"49","28",259
"75","10",258
"44","11",255
"42","44",254
"49","50",253
"60","21",249
"63","21",246
"48","21",246
"37","44",246
"61","18",246
"10","56",246
"26","54",245
"46","21",244
"28","44",243
"28","46",239
"21","40",239
"14","45",238
"59","24",238
"31","22",236
"45","22",236
"38","46",236
"14","46",234
"58","24",232
"71","14",232
"34","63",231
"69","18",231
"33","21",231
"69","10",228
"30","46",225
"28","45",225
"24","40",223
"27","28",223
"50","18",223
"58","21",222
"26","45",218
"59","18",218
"75","8",218
"46","40",217
"48","35",217
"62","20",217
"64","14",215
"26","66",215
"55","22",214
"21","35",212
"57","24",209
"33","22",209
"34","56",209
"54","63",205
"25","56",205
"35","20",203
"20","40",203
"63","31",203
"30","56",203
"26","44",200
"21","63",200
"41","33",196
"35","22",195
"49","31",194
"63","54",193
"14","60",192
"71","18",190
"59","21",190
"73","11",189
"42","31",187
"52","28",186
"29","35",186
"51","28",186
"65","18",185
"30","45",185
"60","22",184
"30","66",184
"71","20",180
"36","60",179
"46","24",179
"51","27",179
"59","22",179
"28","35",178
"43","40",178
"14","54",177
"58","22",177
"61","24",176
"14","44",175
"35","24",175
"40","27",171
"57","21",171
"22","54",171
"40","54",170
"20","54",170
"31","50",170
"25","63",170
"53","31",169
"55","21",167
"62","18",166
"40","44",166
"40","33",165
"47","42",164
"53","28",162
"51","31",160
"47","35",159
